,Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
12,13.0,Paul Reed,26.0,DET,C,65,11,13.9,3.2,5.2,0.617,0.2,0.6,0.325,3.0,4.6,0.656,0.636,1.1,1.7,0.664,2.0,2.5,4.5,1.2,0.9,0.9,0.9,1.8,7.8
13,14.0,Marcus Sasser,25.0,DET,PG,38,5,12.0,1.8,4.7,0.39,1.2,2.8,0.415,0.7,1.9,0.352,0.514,0.4,0.5,0.833,0.2,0.8,1.0,2.0,0.5,0.1,0.8,1.1,5.2
14,15.0,Wendell Moore Jr.,24.0,DET,SG,6,0,10.0,0.7,1.2,0.571,0.0,0.2,0.0,0.7,1.0,0.667,0.571,0.3,0.3,1.0,0.2,0.8,1.0,0.7,0.3,0.3,0.2,0.5,1.7
15,16.0,Tolu Smith,25.0,DET,PF,15,0,9.1,1.2,2.4,0.5,0.0,0.0,,1.2,2.4,0.5,0.5,1.3,2.0,0.667,1.5,1.8,3.3,0.9,0.1,0.4,0.5,1.5,3.7
16,17.0,Chaz Lanier,24.0,DET,SG,34,0,7.7,0.8,2.6,0.315,0.6,2.0,0.284,0.3,0.6,0.409,0.421,0.1,0.2,0.833,0.2,0.4,0.7,0.5,0.2,0.0,0.1,0.4,2.4
17,18.0,Colby Jones,23.0,DET,SG,1,0,7.0,1.0,3.0,0.333,0.0,2.0,0.0,1.0,1.0,1.0,0.333,0.0,0.0,,0.0,4.0,4.0,2.0,0.0,0.0,0.0,1.0,2.0
18,19.0,Bobi Klintman,22.0,DET,SF,12,0,5.9,0.8,2.3,0.333,0.3,1.1,0.308,0.4,1.2,0.357,0.407,0.0,0.3,0.0,0.4,1.2,1.6,0.5,0.3,0.0,0.5,0.9,1.8
19,20.0,Isaac Jones,25.0,DET,PF,4,0,4.8,0.5,1.3,0.4,0.0,0.3,0.0,0.5,1.0,0.5,0.4,0.5,0.5,1.0,0.0,0.8,0.8,0.0,0.0,0.3,0.3,0.0,1.5
20,,Team Totals,,DET,,82,82,241.5,43.4,89.5,0.485,11.0,30.9,0.356,32.4,58.6,0.553,0.546,19.9,26.1,0.763,13.1,32.5,45.6,27.8,10.4,6.4,15.1,22.0,117.8
0,1.0,Jalen Brunson,29.0,NYK,PG,74,74,35.0,9.3,19.9,0.467,2.6,7.1,0.369,6.7,12.8,0.522,0.533,4.8,5.7,0.841,0.4,2.9,3.3,6.8,0.8,0.1,2.4,2.3,26.0
1,2.0,OG Anunoby,28.0,NYK,PF,67,67,33.2,5.8,12.0,0.484,2.3,6.1,0.386,3.5,5.9,0.584,0.581,2.7,3.3,0.828,1.3,4.0,5.2,2.2,1.6,0.7,1.8,2.4,16.7
2,3.0,Mikal Bridges,29.0,NYK,SF,82,82,32.8,5.8,11.7,0.49,1.9,5.1,0.371,3.9,6.6,0.582,0.571,1.0,1.2,0.827,1.0,2.8,3.8,3.7,1.3,0.8,1.0,2.0,14.4
3,4.0,Karl-Anthony Towns,30.0,NYK,C,75,75,31.0,6.9,13.8,0.501,1.5,4.1,0.368,5.4,9.7,0.557,0.556,4.8,5.5,0.858,3.1,8.7,11.9,3.0,0.9,0.5,2.5,3.4,20.1
4,5.0,Josh Hart,30.0,NYK,SF,66,52,30.2,4.6,9.0,0.508,1.5,3.7,0.413,3.0,5.3,0.574,0.593,1.4,1.9,0.72,1.4,6.0,7.4,4.8,1.1,0.3,1.9,2.5,12.0
